"","Date","Index","Close"
"19994",2016-11-08,"Dow Jones",18332.74023
"19995",2016-11-08,"DAX",10482.32031
"19996",2016-11-08,"Nikkei",17171.38086
"19997",2016-11-09,"S&P 500",2163.26001
"19998",2016-11-09,"Dow Jones",18589.68945
"19999",2016-11-09,"DAX",10646.00977
"20000",2016-11-09,"Nikkei",16251.54004
"20001",2016-11-10,"S&P 500",2167.47998
"20002",2016-11-10,"Dow Jones",18807.88086
"20003",2016-11-10,"DAX",10630.12012
"20004",2016-11-10,"Nikkei",17344.41992
"20005",2016-11-11,"S&P 500",2164.449951
"20006",2016-11-11,"Dow Jones",18847.66016
"20007",2016-11-11,"DAX",10667.9502
"20008",2016-11-11,"Nikkei",17374.78906
"20009",2016-11-14,"S&P 500",2164.199951
"20010",2016-11-14,"Dow Jones",18868.68945
"20011",2016-11-14,"DAX",10693.69043
"20012",2016-11-14,"Nikkei",17672.61914
"20013",2016-11-15,"S&P 500",2180.389893
"20014",2016-11-15,"Dow Jones",18923.06055
"20015",2016-11-15,"DAX",10735.13965
"20016",2016-11-15,"Nikkei",17668.15039
"20017",2016-11-16,"S&P 500",2176.939941
"20018",2016-11-16,"Dow Jones",18868.14063
"20019",2016-11-16,"DAX",10663.87012
"20020",2016-11-16,"Nikkei",17862.21094
"20021",2016-11-17,"S&P 500",2187.120117
"20022",2016-11-17,"Dow Jones",18903.82031
"20023",2016-11-17,"DAX",10685.54004
"20024",2016-11-17,"Nikkei",17862.63086
"20025",2016-11-18,"S&P 500",2181.899902
"20026",2016-11-18,"Dow Jones",18867.92969
"20027",2016-11-18,"DAX",10664.55957
"20028",2016-11-18,"Nikkei",17967.41016
"20029",2016-11-21,"S&P 500",2198.179932
"20030",2016-11-21,"Dow Jones",18956.68945
"20031",2016-11-21,"DAX",10685.12988
"20032",2016-11-21,"Nikkei",18106.01953
"20033",2016-11-22,"S&P 500",2202.939941
"20034",2016-11-22,"Dow Jones",19023.86914
"20035",2016-11-22,"DAX",10713.84961
"20036",2016-11-22,"Nikkei",18162.93945
"20037",2016-11-23,"S&P 500",2204.719971
"20038",2016-11-23,"Dow Jones",19083.17969
"20039",2016-11-23,"DAX",10662.44043
"20040",2016-11-23,"Nikkei",NA
"20041",2016-11-25,"S&P 500",2213.350098
"20042",2016-11-25,"Dow Jones",19152.14063
"20043",2016-11-25,"DAX",10699.26953
"20044",2016-11-25,"Nikkei",18381.2207
"20045",2016-11-28,"S&P 500",2201.719971
"20046",2016-11-28,"Dow Jones",19097.90039
"20047",2016-11-28,"DAX",10582.66992
"20048",2016-11-28,"Nikkei",18356.89063
"20049",2016-11-29,"S&P 500",2204.659912
"20050",2016-11-29,"Dow Jones",19121.59961
"20051",2016-11-29,"DAX",10620.49023
"20052",2016-11-29,"Nikkei",18307.03906
"20053",2016-11-30,"S&P 500",2198.810059
"20054",2016-11-30,"Dow Jones",19123.58008
"20055",2016-11-30,"DAX",10640.2998
"20056",2016-11-30,"Nikkei",18308.48047
"20057",2016-12-01,"S&P 500",2191.080078
"20058",2016-12-01,"Dow Jones",19191.92969
"20059",2016-12-01,"DAX",10534.0498
"20060",2016-12-01,"Nikkei",18513.11914
